图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
193,（课本里的大师 ）小坡的生日（2022年百班千人寒假书单）,老舍,2020-01-01,南京大学出版社,19.0
194,放学后（东野圭吾成名作）,东野圭吾,2017-09-01,南海出版公司,33.7
195,有故事的汉字 第1辑（全3册）,邱昭瑜,2015-01-06,青岛出版社,30.0
196,国内大奖书系-吃黑夜的大象（注音 全彩 美绘）,白冰,2015-03-01,春风文艺出版社,11.2
197,【樊登推荐】考试脑科学 脑科学中的高效记忆法（图灵出品）,池谷裕二,2021-03-01,人民邮电出版社,39.8
198,在细雨中呼喊（余华活着许三观卖血记兄弟文城长篇代表作之一作家...,余华,2017-09-12,作家出版社,22.7
199,当世界年纪还小的时候,舒比格,2006-10-01,四川少儿出版社,13.3
200,中华人民共和国民法典（实用版）2021年1月起正式施行  团购电话：...,中国法制出版社,2020-06-01,中国法制出版社,28.9
201,米小圈脑筋急转弯（第一辑）（套装共4册）,北猫,2016-01-01,四川少儿出版社,31.4
202,没头脑和不高兴 任溶溶幽默儿童文学创作（注音版）典藏本,任溶溶,2018-04-01,浙江少年儿童出版社,49.0
203,这么好玩的物理 我是学霸 给孩子的物理启蒙科普绘本,项华,2021-11-01,北京联合出版有限公司,39.0
204,第一人称单数（村上春树2021新书，村上回归之作！随书附赠音乐导...,村上春树,2021-11-01,花城出版社,53.2
205,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,盖温・肯尼迪,2018-04-06,民主与建设出版社,22.5
206,不可思议的旅程三部曲（2020版）,艾伦・贝克尔,2020-08-01,新星出版社,89.7
207,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习启蒙书，附...,周霞,2018-10-15,电子工业出版社,49.5
208,刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本...,毛姆,2018-05-14,时代文艺出版社,18.6
209,王尔德童话（舒朗大开本，包含《快乐王子》）,奥斯卡・王尔德,2017-03-01,辽宁少年儿童出版社,9.7
210,科幻世界・三体(二)黑暗森林,刘慈欣,2008-05-01,重庆出版社,16.0
211,科幻世界・三体(三)死神永生,刘慈欣,2010-11-01,重庆出版社,19.0
212,奇妙的数王国――中国科普名家名作・数学故事专辑(典藏版）,李毓佩,2011-06-01,中国少年儿童出版社,9.9
